호선,역번호,역      명,계,일평균,1월,2월,3월,4월,5월,6월,7월
3,328,잠원,2116731,9963,297118,249437,308411,318941,330456,298936,313432
3,329,고속터미널(3),19579168,92654,2797821,2649733,2884258,2718059,2975114,2745511,2808672
3,330,교대(3),4280158,20105,616424,497267,635766,650760,648672,590029,641240
3,331,남부터미널,12762091,60369,1884278,1653442,1920893,1842424,1886288,1739564,1835202
3,332,양재,14580721,68795,2136253,1738045,2158607,2216852,2193806,2008422,2128736
3,333,매봉,4011485,18830,588585,476470,580394,609775,600584,552419,603258
3,334,도곡,1924513,9092,275601,225797,283187,298994,295702,266398,278834
3,335,대치,4081306,19144,596446,505881,604353,584750,613392,560156,616328
3,336,학여울,965319,4583,124778,98065,156122,169521,151474,129619,135740
3,337,대청,3241897,15187,449402,383308,478273,492023,493522,452268,493101
3,338,일원,3344056,15669,472641,390048,483582,507492,513862,468409,508022
3,339,수서,5963522,28140,858505,733261,877502,885297,902325,836518,870114
3,340,가락시장(3),3067732,14494,455654,373934,450195,459084,460162,424379,444324
3,341,경찰병원,2703671,12730,404756,329873,395261,400177,402984,371043,399577
3,342,오금(3),2018258,9533,293930,243897,300302,304999,303703,278521,292906
4,409,당고개,3890043,18335,534107,469590,575450,577390,605837,556324,571345
4,410,상계,6454910,30500,917144,787118,962142,962952,988501,902610,934443
4,411,노원(4),6602009,31167,943523,829958,973299,960065,1011911,922438,960815
4,412,창동,9889266,46662,1401167,1204413,1452229,1464088,1525176,1398651,1443542
4,413,쌍문,10239384,48374,1469954,1261463,1517816,1518678,1560001,1427696,1483776
4,414,수유,12313743,58234,1749368,1517012,1833966,1829766,1885754,1724421,1773456
4,415,미아,5358065,25433,740784,642962,806334,815784,837634,759883,754684
4,416,미아사거리,9486691,44710,1325505,1152083,1391505,1411331,1468619,1343394,1394254
4,417,길음,7569973,36059,1013326,871137,1180467,1185046,1216515,1060097,1043385
4,418,성신여대입구,7771312,36962,1047499,921166,1205249,1181539,1240532,1094079,1081248
4,419,한성대입구,5487237,26222,713370,616115,854753,866279,915349,780394,740977
4,420,혜화,14590399,68927,2111433,1760055,2153957,2099696,2286396,2064146,2114716
4,421,동대문(4),8194593,38589,1153388,978928,1224856,1201257,1274627,1151506,1210031
4,422,동대문역사문화공원(4),6268852,29575,865539,771599,948895,908121,970894,887905,915899
4,423,충무로(4),10092831,47946,1386713,1156210,1548629,1600364,1579675,1406537,1414703
4,424,명동,13636262,65132,1827845,1667619,2173639,2117136,2058733,1943993,1847297
4,425,회현,11016845,52062,1522408,1287971,1657948,1677197,1716382,1561358,1593581
4,426,서울역(4),5564997,26216,792725,689409,821484,831037,836634,773777,819931
4,427,숙대입구,5456995,26035,732400,607490,861951,860667,870118,779548,744821
4,428,삼각지(4),1672334,7892,245479,203738,245394,250241,248710,234884,243888
4,429,신용산,5580994,26153,810983,696302,802651,807524,842771,773461,847302
4,430,이촌,3463042,16341,504708,444004,470697,495031,553937,489305,505360
4,431,동작,1065908,5090,127795,112495,140046,176610,183914,180477,144571
4,432,이수(총신대입구),8311688,39220,1204334,1020302,1229961,1235507,1252317,1156377,1212890
4,433,사당(4),9212811,43617,1305481,1110147,1384836,1377742,1410594,1305777,1318234
4,434,남태령,531729,2529,73791,62597,82447,81682,83741,73460,74011
5,2511,방화,2287126,10772,321462,275908,339408,340584,350019,322249,337496
5,2512,개화산,1879736,8870,270714,229087,276735,280529,287568,260813,274290
5,2513,김포공항(5),2105723,9889,299230,271722,304052,297684,318032,299216,315787
5,2514,송정,2679463,12693,376468,326199,402042,403891,413141,375709,382013
5,2515,마곡,1955797,9195,283592,230765,285974,291999,301412,270570,291485
5,2516,발산,5594290,26335,749864,659184,833594,851660,867101,805187,827700
5,2517,우장산,4869901,23019,682382,580354,729153,739068,754231,681155,703558
5,2518,화곡,9288264,43816,1316142,1130899,1372021,1389226,1421881,1300483,1357612
5,2519,까치산(5),9938993,46952,1429654,1225307,1464365,1483964,1508828,1386055,1440820
5,2520,신정,3937447,18730,603426,508698,616428,564859,575574,521209,547253
5,2521,목동,6180958,29130,863627,730308,907614,946631,957145,867192,908441
5,2522,오목교,7993721,37689,1166406,989260,1172464,1185911,1202904,1104648,1172128
5,2523,양평(5),2088157,9818,307961,253579,304830,314284,311386,284945,311172
5,2524,영등포구청(5),952027,4480,138194,115091,138155,143976,144142,131250,141219
5,2525,영등포시장,3023531,14260,433612,369435,448518,443935,457170,428340,442521
5,2526,신길(5),1004902,4726,146190,119983,145772,150529,151998,140901,149529
5,2527,여의도(5),7643158,35821,1113274,889560,1072790,1238103,1141247,1028734,1159450
5,2528,여의나루,4278018,20546,342751,321348,476228,1010688,953524,614348,559131
5,2529,마포,4840918,22761,714113,587691,700655,728950,726136,662124,721249
5,2530,공덕(5),4485247,21052,644719,530813,649549,686774,679923,618665,674804
5,2531,애오개,2419181,11374,346510,288762,356165,365657,365366,336331,360390
5,2532,충정로(5),1369298,6448,192060,158312,203860,212571,212228,188082,202185
5,2533,서대문,5902608,27784,821627,676842,876218,910875,917406,825933,873707
5,2534,광화문,11236674,52916,1684360,1381368,1654234,1670400,1680976,1506306,1659030
5,2535,종로3가(5),5005650,23762,786061,674088,733102,698069,739948,669622,704760
5,2536,을지로4가(5),1357677,6363,203346,163519,194648,196485,198489,195212,205978
5,2537,동대문역사문화공원(5),854563,4000,126314,101625,125762,128548,126310,115490,130514
5,2538,청구(5),1238475,5831,174780,148942,183214,185951,190080,172371,183137
5,2539,신금호,2220488,10476,309858,265536,330058,332520,343799,314334,324383
5,2540,행당,2764518,13042,394871,335794,409806,414953,419304,385849,403941
5,2541,왕십리(5),1370854,6473,201419,172909,203716,199049,205499,189027,199235
5,2542,마장,1999764,9508,289761,246170,299748,306227,305508,273414,278936
5,2543,답십리,5587298,26370,803599,683228,830712,832157,845639,777465,814498
5,2544,장한평,6519429,30670,947398,797312,957787,969215,981635,897941,968141
5,2545,군자(5),3515460,16590,500391,426153,523947,526349,533211,492719,512690
5,2546,아차산,5003019,23727,685476,596654,744363,763802,797610,706702,708412
5,2547,광나루,4484036,21256,634285,521528,675921,686171,696599,632800,636732
5,2548,천호(5),6333768,29907,913210,786995,939143,916773,964233,892763,920651
5,2549,강동,6635153,31098,940522,798648,972951,979950,1002232,934412,1006438
5,2550,길동,2562713,12078,372568,315628,378388,375545,387831,356154,376599
5,2551,굽은다리,3234269,15245,458975,390240,475209,480737,499007,455117,474984
5,2552,명일,2742394,12926,391417,327370,411289,409104,421063,379378,402773
5,2553,고덕,3161047,14885,438239,371638,466344,478066,493806,445988,466966
5,2554,상일동,4098058,19352,580640,482784,605881,619871,638787,574701,595394
5,2555,둔촌동,3008835,14206,431801,360796,448453,444191,459070,426945,437579
5,2556,올림픽공원(5),1652006,7777,215689,170696,236848,254444,270124,259925,244280
5,2557,방이,2442499,11521,353823,295861,363232,362812,367161,342562,357048
5,2558,오금(5),1054175,4958,145981,122044,157831,159904,162202,149500,156713
5,2559,개롱,2253780,10602,315242,266164,332595,338303,346840,319893,334743
5,2560,거여,2475553,11650,344007,291454,366979,371864,384073,350140,367036
5,2561,마천,1823337,8610,252241,218691,269937,272402,282743,262509,264814
6,2611,응암,6177846,29202,880413,754935,913407,932473,940825,863553,892240
6,2612,역촌,1417987,6656,202411,173933,208355,207682,212182,200280,213144
6,2613,불광(6),1600912,7550,228631,204537,238334,232568,238733,223632,234477
6,2614,독바위,995242,4698,144334,121578,147439,146835,150411,139817,144828
6,2616,구산,2468631,11621,348312,292032,366104,369884,379000,348165,365134
6,2617,새절,4631286,21954,624383,538291,695986,723336,731337,660265,657688
6,2618,증산,3534394,16707,492649,424540,524489,537603,545053,499756,510304
6,2619,디지털미디어시티(6),4568031,21497,661816,548261,664894,687163,697265,631427,677205
6,2620,월드컵경기장,2229045,10374,242214,212706,355421,304644,405275,357417,351368
6,2621,마포구청,4710963,22212,672971,574198,693661,704100,719211,656082,690740
6,2622,망원,4970295,23481,723668,618132,739693,726811,751732,690008,720251
6,2623,합정(6),4153803,19603,598572,516840,618552,601768,626364,586021,605686
6,2624,상수,3808668,18074,531678,461916,581678,563702,601979,530277,537438
6,2625,광흥창,2995428,14091,434294,362174,441954,452897,443011,416219,444879
6,2626,대흥,3044197,14433,409114,339585,466420,473952,490373,432949,431804
6,2627,공덕(6),5715366,26885,832533,691131,836471,861485,856989,787598,849159
6,2628,효창공원앞,2374928,11270,329977,279654,360334,368753,369465,331667,335078
6,2629,삼각지(6),1906802,9011,265227,225121,279738,281162,298391,281284,275879
6,2630,녹사평,2146497,10149,293726,262319,335139,307601,325742,312605,309365
6,2631,이태원,6106665,29014,863213,780411,924989,865033,924135,893819,855065
6,2632,한강진,3107181,14710,444685,376110,464522,457918,473950,445403,444593
6,2633,버티고개,833944,3943,117879,100367,124871,125984,128124,116327,120392
6,2634,약수(6),1262966,5951,183891,152789,185829,188942,191719,174050,185746
6,2635,청구(6),1176771,5533,167247,141615,173234,175827,178972,164497,175379
6,2636,신당(6),2790221,13231,399810,326824,425250,422061,426475,394529,395272
6,2637,동묘앞(6),3303719,15757,459679,422976,505334,490431,512503,461126,451670
6,2638,창신,1225136,5807,167142,141564,187146,191453,191710,172008,174113
6,2639,보문,2460228,11601,345625,296803,366699,364580,380049,346168,360304
6,2640,안암,4955892,23766,603238,519256,842299,789143,856025,691798,654133
6,2641,고려대,3365179,16058,438927,374279,523829,532696,560553,476307,458588
6,2642,월곡,4472169,21310,623178,523706,694637,694369,705013,616184,615082
